public_sku,manufacturer_mpn,manufacturer,title,pricing_status,confidence,reason,proposed_retail_price,pricing_approved,approved_public_price,evidence_urls
"C4-CJM","C4-CJM","Antennas Direct","Clearstream 4 Outdoor Antenna","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.bestbuy.com/product/antennas-direct-clearstream-4-uhf-indoor-outdoor-tv-antenna-multi-directional-70-mile-range-4k-8k-uhd-nextgen-tv-20-mast-black/J3R4FK5JWZ/sku/10750077/reviews | https://www.solidsignal.com/antennas-direct-clearstream-4-hdtv-antenna-with-j-mount-c4-cjm | https://www.bestbuy.com/site/antennas-direct-clearstream-digital-tv-antenna/9151687.p?skuId=9151687 | https://www.antennasdirect.com/cmss_files/attachmentlibrary/2024-PDF-QS/C4-CJM_QS_2024-01.pdf"
"ANT1560E1","ANT1560E1","RCA","Amplified Indoor Flat Multi-Directional HDTV Antenna","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.bestbuy.com/product/rca-amplified-indoor-flat-multi-directional-hdtv-antenna-black/J7GGXL5JJC | https://www.compsource.com/buy/ANT1560E1/Rca-3482/Amp-In-Flat-Md-Hdtv-Antna/"
"ANT310E","ANT310E","RCA","Amplified Indoor Antna","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.rcaantennas.net/docs/common/ANT310E/ANT310E_QS.pdf"
"ANT705E","ANT705E","RCA","Attic/outdoor Hdtv Antenna","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.rcaantennas.net/search/?sku=ANT705E | https://www.bestbuy.com/product/rca-attic-outdoor-hdtv-antenna-silver/J7GGXL535C | https://www.homedepot.com/p/303087505 | https://www.maxitec.com.ec/rca-antena-de-tv-compacta-para-exteriores-ant705e/p"
"ANT754E","ANT754E","RCA","Antenna Outdoor Attic Compa","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.homedepot.com/p/339401207 | https://www.electronicexpress.com/catalog/203968/rca-ant754e-outdoor-attic-hdtv-antenna | https://www.acehardware.com/departments/lighting-and-electrical/home-electronics/television-antennas/3458353"
"DH12HHE","DH12HHE","RCA","12FT Dig Plus HDMI 2 HDMI","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.abcwarehouse.com/rca-dh12hhe | https://www.bestbuy.com/product/rca-dh12hhe-digital-plus-high-speed-hdmi-cable-with-ethernet-12-ft--black/J7GGXLHWC2 | https://www.maxitec.com.ec/rca-cable-hdmi-de-alta-resolucion-y-velocidad-365-metros-dh12hhe/p"
"DH24SPE","DH24SPE","RCA","2.4GHZ 2WAY Digital Splitter","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.petra.com/rca-dh24spe-2-way-2-4-ghz-bi-directional-coaxial-splitter.html"
"DH3HHE","DH3HHE","RCA","3FT HDMI Cable","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"DH6HHE","DH6HHE","RCA","6FT Dig Plus HDMI To HDMI","approved_candidate","medium","Two or more distinct priced public sellers; price spread, supplier cost, and MAP gates passed.","19.97","true","19.97","https://www.petra.com/rca-dh6hhe-digital-plus-high-speed-hdmi-cable-with-ethernet-black-6-ft.html | https://www.zoro.com/rca-6-ft-black-4k-ultra-hd-digital-plus-hdmi-cable-dh6hhe/i/G211362246/"
"DV10RV","DV10RV","RCA","6FT Optical Cable Black","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.zoro.com/rca-6-ft-black-audio-digital-optical-cable-dv10rv/i/G316239467/"
"TP210WHRV","TP210WHRV","RCA","7FT Mod Phone Cord White","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.beachaudio.com/rca-tp210whrv-rounded-phone-line-cord-7-ft-white/"
"TP231WHR","TP231WHR","RCA","15FT Phone Line Cord White","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.zoro.com/rca-white-15-ft-phone-line-cord-tp231whr/i/G9762591/"
"TP243WHR","TP243WHR","RCA","25FT Phone Line Cord White","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.beachaudio.com/rca-tp243whr-white-phone-line-cord-25ft-tp243whr/"
"TP257WHR","TP257WHR","RCA","Duplex Mod Jack White","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"TP265WHR","TP265WHR","RCA","Surf Mount Phone Jack White","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.menards.com/main/electrical/wall-plates/rca-white-surface-mount-phone-jack/tp265whr/p-1444424468033-c-1489667504662.htm | https://www.beachaudio.com/rca-tp265whr-tp265whr-surface-mount-baseboard-phone-jack/ | https://www.rcaaccessories.com/connectivity/?sku=TP265WHR"
"TP280WRV","TP280WRV","RCA","12FT Phone Coil Cord White","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"TP282AR","TP282AR","RCA","25FT Phone Coil Cord Ivr","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.zoro.com/rca-25-almond-phone-cord-tp282ar/i/G021879750/"
"TP282BLRV","TP282BLRV","RCA","Standard Handset Coil Cord, 25 ft, Black","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.beachaudio.com/rca-tp282blrv-standard-handset-coil-cord-25-ft-black/"
"TP282WR","TP282WR","RCA","25FT Handset Coil Cord With","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.nationalsupplynetwork.com/TP282WR-Voxx-Accessories.aspx"
"TP443WHRV","TP443WHRV","RCA","50FT Mod Phone Cord White","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"TPH530BR","TPH530BR","RCA","7 ft Cat5e Cable Blu","approved_candidate","medium","Two or more distinct priced public sellers; price spread, supplier cost, and MAP gates passed.","7.74","true","7.74","https://www.pcrichard.com/rca-7-feet-cat5e-network-cable/TPH530BR.html | https://www.zoro.com/rca-7-ft-cat-5-blue-network-cable-tph530br/i/G211378667/ | https://sounds.mx/products/rca-cable-ethernet-7ft-tph530br"
"TPH532BR","TPH532BR","RCA","25FT Cat5e 100MHZ Cable Blu","approved_candidate","medium","Two or more distinct priced public sellers; price spread, supplier cost, and MAP gates passed.","19.09","true","19.09","https://www.rcaaccessories.com/connectivity/cat5e-cables/?sku=TPH532BR | https://www.maxitec.com.ec/rca-cable-de-red-de-75-metros-cat5-100mhz-tph532br/p | https://www.quill.com/rca-tph532br-cat-5e-100mhz-network-cable-25ft/cbs/52819474.html | https://www.zoro.com/rca-cat-5e-100mhz-25-ft-network-cable-tph532br/i/G0418233/"
"TPH560R1V","TPH560R1V","RCA","CAT5E/6 in Line Coupler With","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.beachaudio.com/rca-tph560r1v-cat-5e-6-in-line-coupler-white/ | https://www.rona.ca/en/product/rca-in-line-coupler-cat5e-6-white-tph560r1v-10545231"
"TPH633R","TPH633R","RCA","50FT Cat 6 Cable Black","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"VH125R","VH125R","RCA","4IN Antenna Wall Mount Kit","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"VH47R","VH47R","RCA","Two-way Splitter","approved_candidate","medium","Two or more distinct priced public sellers; price spread, supplier cost, and MAP gates passed.","4.57","true","4.57","https://www.rcaaccessories.com/connectivity/coaxial-cables-accessories/?sku=VH47R | https://www.zoro.com/rca-video-signal-2-way-splitter-vh47r/i/G0421094/"
"VH603RV1","VH603RV1","RCA","3FT RG6 Cable Black","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"VH606R","VH606R","RCA","6FT RG6 Coax Cable Black","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.maxitec.com.ec/rca-cable-coaxial-rg6-de-183-m-vh606r/p"
"VH606WHR","VH606WHR","RCA","6FT RG6 Cable White","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.beachaudio.com/voxx-electronics-vh606whn-audio-video-cable-vh606whr/"
"VH612R","VH612R","RCA","12FT RG6 Coax Cable Black","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.rcaaccessories.com/connectivity/coaxial-cables/?sku=VH612R | https://www.beachaudio.com/rca-vh612r-rg6-coaxial-cable-12ft-black-vh612r/"
"VH625RV","VH625RV","RCA","25FT RG6 Coax Cable Black","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"VH66R1","VH66R1","RCA","Coax Cable Feed Connector","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://tekshack.com/products/rca-in-line-feed-through-coax-connector-2-pack-vh66r1"
"VHB6111R","VHB6111R","RCA","100FT RG6 Coax Cable Black","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.bestbuy.com/product/rca-rg6-coaxial-cable-100-ft-with-f-connectors-black/J79FRQZ3KR/sku/10752843/reviews"
"VHB655R","VHB655R","RCA","50FT RG6 Coax Cable Black","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.radwell.co.uk/Buy/RCA/RCA/VHB655R"
"VHEXT8E","VHEXT8E","RCA","Coax Extension Cable","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.rcaaccessories.com/search/?sku=VHEXT8E"
"VHFC015E","VHFC015E","RCA","Flat Coax Extnsn Cable","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.rcaaccessories.com/connectivity/?sku=VHFC015E"
"C380N","C380N","Eco4life","4O Smart Surge Power Strip W/usb","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://mall.eco4lifehome.com/products/smart-wi-fi-surge-protector-with-65w-fast-charge-station-4-smart-outlets-2-usb-c-and-1-usb-a-fast-charging-ports-c380n | https://www.homedepot.com/p/335432716?MERCH=REC-_-pipinstock-_-315518498-_-4-_-n%2Fa-_-n%2Fa-_-n%2Fa-_-n%2Fa-_-n%2Fa"
"84-213","84-213","Stanley","Wire Stripper & Cutter","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.grainger.com/product/STANLEY-Pliers-5-in-Overall-Lg-379A32 | https://www.webstaurantstore.com/stanley-5-wire-stripper-cutter-84-213/23084213.html"
"AHD10-04290","AHD10-04290","Vericom","10FT HDMI 30AWG Black","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"AHD30-04293","AHD30-04293","Vericom","30FT HDMI 28AWG Black","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.codale.com/product/detail/3590744/vericom-ahd30-04293 | https://shoptheworld.in/vericom-ahd30-04293-30-28-gauge-hdmi-cable-black-price-online/p/b01j6kkt8w"
"AHD50-04294","AHD50-04294","Vericom","50FT HDMI 24AWG Black","approved_candidate","medium","Two or more distinct priced public sellers; price spread, supplier cost, and MAP gates passed.","45.99","true","45.99","https://www.bestbuy.com/product/vericom-vp-series-high-speed-10-2-gbps-hdmi-cable-with-ethernet-50-ft-/J36WSCYWTK | https://www.bestbuy.com/product/vericom-vp-series-high-speed-10-2-gbps-hdmi-cable-with-ethernet-50-ft-/J36WSCYWTK/sku/12135323/reviews | https://www.staples.com/vericom-ahd50-04294-28-gauge-hdmi-cable-50ft-tctahd5004294ds/product_2442853"
"MBW5U-00932","MBW5U-00932","Vericom","CAT 5e U/UTP Solid Riser CMR Cable, 1,000 ft, Blue","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.bestbuy.com/product/vericom-cat-5e-u-utp-solid-riser-cmr-cable-1000-ft-/J36WSCGRFX/sku/12135381/reviews"
"MBW5U-01440","MBW5U-01440","Vericom","CAT 5e U/UTP Solid Riser CMR Cable, 1,000 ft, Black","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.petra.com/vericom-mbw5u-01440-cat-5e-u-utp-solid-riser-cmr-cable-1-000-ft-black.html | https://www.lowes.com/pd/Vericom-1000-ft-Cat-5E-Black-Ethernet-Cable-Pull-Box/1003011294?feed=yes&user=shopping"
"MBW5U-01441","MBW5U-01441","Vericom","CAT 5e U/UTP Solid Riser CMR Cable, 1,000 ft, White","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.bestbuy.com/product/vericom-cat-5e-u-utp-solid-riser-cmr-cable-1000-ft-/J36WSCGFJQ | https://www.lowes.com/pd/Vericom-CAT-5E-UTP-Solid-Riser-CMR-Cable-1-000ft-White/1003011296 | https://www.codale.com/product/detail/2637944/vericom-mbw5u-01441 | https://e-catalog.com/gtin/0846788014415/"
"MBW5U-01443","MBW5U-01443","Vericom","CAT 5e U/UTP Solid Riser CMR Cable, 1,000 ft, Yellow","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.lowes.com/pd/Vericom-CAT-5E-UTP-Solid-Riser-CMR-Cable-1-000ft-Yellow/1003084494 | https://www.officedepot.com/a/products/7291300/Vericom-CAT-5EUTP-Solid-Riser-CMR/"
"MBW5U-01554","MBW5U-01554","Vericom","CAT 5e U/UTP Solid Riser CMR Cable, 1,000 ft, Red","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"MBW6U-00934","MBW6U-00934","Vericom","CAT 6 U/UTP Solid Riser CMR Cable, 1,000 ft, Blue","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"MBW6U-01444","MBW6U-01444","Vericom","CAT 6 U/UTP Solid Riser CMR Cable, 1,000 ft, White","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.joinhoney.com/p/ce3d3df8-e336-4b01-b172-3975d63eb417 | https://e-catalog.com/gtin/0846788014446/"
"MBW6U-01445","MBW6U-01445","Vericom","CAT 6 U/UTP Solid Riser CMR Cable, 1,000 ft, Yellow","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.bestbuy.com/product/vericom-cat-6-u-utp-solid-riser-cmr-cable-1000-ft-/J36WSCGF22/sku/12134912/reviews | https://www.beachaudio.com/vericom-cat-6-u-utp-solid-riser-cmr-cable-1000-ft-pull-box-category-6-for-network-device-1000-ft-bare-wire-bare-wire-yellow-mbw6u-01445/ | https://www.newegg.com/p/16U-0050-00081"
"MKJ6U-01352","MKJ6U-01352","Vericom","Kest Coupler Cat6 Unshld Black","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.officedepot.com/a/products/9097634/Vericom-VGC-Series-CAT-6-UTP/"
"WTCXC-03634","WTCXC-03634","Vericom","Coax Hex Crimp Tool","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://vericomsolutions.com/images/product/pdf/WTCXC-03634_Spec.pdf"
"WTCXS-03631","WTCXS-03631","Vericom","Universal Coax Strip Tool","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://vericomsolutions.com/images/product/pdf/WTCXS-03631_Spec.pdf"
"WTRJC-03632","WTRJC-03632","Vericom","Modular Crimp/strip Tool","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://e-catalog.co.uk/gtin/0846788036325/ | https://www.vericomsolutions.com/images/product/pdf/WTRJC-03632_Spec.pdf | https://vericomsolutions.com/images/product/pdf/WTRJC-03632_Spec.pdf"
"XHD03-04252","XHD03-04252","Vericom","3FT HDMI Cable With Ethernet Black","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.solidsignal.com/vericom-gold-plated-high-speed-hdmi-cable-with-ethernet-3ft-xhd03-04252"
"XHD01-04253","XHD01-04253","Vericom","6FT HDMI Cable With Ethernet Black","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.petra.com/vericom-xhd01-04253-vu-series-18-gbps-high-speed-hdmi-cable-with-ethernet-6-ft-black.html?ca9dfd5c69a9609afe4d82c38e0c28ec=1"
"XHD01-04254","XHD01-04254","Vericom","10FT HDMI Cable With Ethernet Black","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"XHD01-04255","XHD01-04255","Vericom","12FT HDMI Cable With Ethernet Black","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"XHD01-04260","XHD01-04260","Vericom","12FT HDMI Cable With Ethernet White","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.petra.com/vericom-xhd01-04260-vu-series-18-gbps-high-speed-hdmi-cable-with-ethernet-12-ft-white.html | https://www.officedepot.com/a/products/7387710/Vericom-VU-Series-High-Speed-18/"
"XRG06-02404","XRG06-02404","Vericom","1000FT RG6 Dual Shield Cable","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.bestbuy.com/product/vericom-rg6-ccs-dual-shield-coaxial-cable-1000ft/J36WSCL6SV | https://www.solidsignal.com/vericom-rg-6-dual-shield-60-coax-cable-1000-ft-rib-xrg06-02404"
"TLP1008TELTV","TLP1008TELTV","Tripp Lite by Eaton","10 Outlet Surge","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"TLP1208TELTV","TLP1208TELTV","Tripp Lite by Eaton","12OUT Surge With Coax/tel","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://assets.tripplite.com/flyer/tlp1208teltv-wirecutter-review.pdf"
"A102-02M","A102-02M","Tripp Lite by Eaton","6FT Digital Optical Cable","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.petra.com/tripp-lite-by-eaton-a102-02m-toslink-digital-optical-spdif-audio-cable-black-6-ft.html"
"A102-04M","A102-04M","Tripp Lite by Eaton","13FT Digital Optical Cable","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.tecisoft.ca/products/tripp-lite-a102-04m-toslink-digital-optical-spdif-audio-cable-4m-13-12-ft"
"AVR750UNC","AVR750UNC","Tripp Lite by Eaton","12O 750VA 450W Li Cloud Ups","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.petra.com/tripp-lite-by-eaton-avr750unc-12-ac-outlet-and-lan-coax-750-va-450-watt-cloud-connected-line-interactive-desktop-ups-avr-316-joules-surge-protection-5-ft-cord.html?ca9dfd5c69a9609afe4d82c38e0c28ec=1"
"B118-008E-UHD-2","B118-008E-UHD-2","Tripp Lite by Eaton","8PRT 4K HDMI Splitter","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.tractorsupply.com/tsc/product/tripp-lite-hdmi-splitter-4k-at-60-hz-8-ports-b118-008e-uhd-2 | https://www.bestbuy.com/product/tripp-lite-by-eaton-b118-008e-uhd-2-hdmi-splitter-4k-at-60-hz-8-ports-b118-008e-uhd-2-black/J78C5Z6L4G/sku/10742897"
"BC600RNC","BC600RNC","Tripp Lite by Eaton","Cloud-Connected 600 VA/300 W Desktop UPS with 4 AC Outlets","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://fleetnetwork.ca/tripp-lite-by-eaton-bc600rnc-600va-300w-desktop-surface-wall-mountable-ups-4-outlets-1-2-min-full-load-runtime-8-hour-recharge-3-year-warranty/ | https://www.connection.com/product/tripp-lite-cloud-ups-600va-300w-120v/bc600rnc/41795094 | https://www.officesupplyinc.com/pdf/TRPBC600RNC-p-354475.pdf"
"ISOBAR6 ULTRA","ISOBAR6 ULTRA","Tripp Lite by Eaton","6 Out Surge With 6FT Cord","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"LC1200","LC1200","Tripp Lite by Eaton","1200W 120V Line Conditioner","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.jrhelectronics.com/en-us/products/tripp-lite-by-eaton/lc1200/ | https://master.abasteo.mx/getpdf.php?anid=d518158c9a0d1ee55e73605ad3ed87e0&cl=cptopdf_details&pt=LC1200"
"LC2400","LC2400","Tripp Lite by Eaton","2400W 120V Power Conditioner","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.tech-america.com/item/tripp-lite-by-eaton-2400w-120v-power-conditioner-with-automatic-voltage-regulation-avr-ac-surge-protection-6-outlets/lc2400"
"N001-025-BK","N001-025-BK","Tripp Lite by Eaton","Cat5e 350MHZ Cable 25 ft","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"N001-050-BK","N001-050-BK","Tripp Lite by Eaton","Cat5e Patch Cable 50 ft","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://e-catalog.com/gtin/0037332042743/"
"N032-001","N032-001","Tripp Lite by Eaton","Cat5e RJ45 Inline Couplr","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.pc-canada.com/item/tripp-lite-by-eaton-cat5e-cat5-straight-through-modular-shielded-in-line-coupler-rj45-f-f/n032-001 | https://www.pcnation.com/tripp-lite-n032-001-095546 | https://fireowls.com/products/n032-001-tripp-lite-by-eaton-cat5e-cat5-straight-through-modular-shielded-in-line-coupler-rj45-ff | https://www.directdial.com/us/item/tripp-lite-by-eaton-cat5e-cat5-straight-through-modular-shielded-in-line-coupler-rj45-f-f/n032-001"
"N201-007-BL","N201-007-BL","Tripp Lite by Eaton","CAT 6 Gigabit Snagless Stranded UTP Ethernet Cable, 7 ft, Blue","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.ibselectronics.com/part/tripp-lite/n201-007-bl/2353024/ | https://www.pcnation.com/tripp-lite-n201-007-bl-601379"
"N201-007-WH","N201-007-WH","Tripp Lite by Eaton","7FT Cat6 Gigabit Snagless","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.pc-canada.com/item/tripp-lite-by-eaton-cat6-gigabit-snagless-molded-utp-ethernet-cable-rj45-m-m-poe-white-7-ft-2-13-m/n201-007-wh"
"N201-014-BL","N201-014-BL","Tripp Lite by Eaton","CAT 6 Gigabit Snagless Solid UTP Ethernet Cable, 14 ft, Blue","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.pc-canada.com/item/tripp-lite-by-eaton-cat6-gigabit-snagless-molded-utp-ethernet-cable-rj45-m-m-poe-blue-14-ft-4-27-m/n201-014-bl"
"N201-025-BL","N201-025-BL","Tripp Lite by Eaton","CAT 6 Gigabit Snagless Solid UTP Ethernet Cable, 25 ft, Blue","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.petra.com/tripp-lite-by-eaton-n201-025-bl-cat-6-gigabit-snagless-molded-solid-utp-ethernet-cable-25-ft-blue.html?07e7b432dd240b7ca5cf8e3bf4622af6=1 | https://www.ibselectronics.com/part/tripp-lite/n201-025-bl/2353045/"
"N201-050-BL","N201-050-BL","Tripp Lite by Eaton","CAT 6 Gigabit Snagless Solid UTP Ethernet Cable, 50 ft, Blue","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.bestbuy.com/product/tripp-lite-by-eaton-n201-050-bl-cat-6-gigabit-snagless-molded-solid-utp-ethernet-cable-50-ft--blue/J78C5ZYJ4H | https://www.bestbuy.com/product/tripp-lite-cat-6-gigabit-snagless-molded-solid-utp-ethernet-cable-50-ft-blue/J78C5ZYJ4H/sku/10742855 | https://www.bestbuy.com/product/tripp-lite-by-eaton-n201-050-bl-cat-6-gigabit-snagless-molded-solid-utp-ethernet-cable-50-ft--blue/J78C5ZYJ4H/sku/10752915 | https://www.bestbuy.com/product/tripp-lite-by-eaton-n201-050-bl-cat-6-gigabit-snagless-molded-solid-utp-ethernet-cable-50-ft--blue/J78C5ZYJ4H/sku/11530969"
"N201-100-BL","N201-100-BL","Tripp Lite by Eaton","CAT 6 Gigabit Snagless Solid UTP Ethernet Cable, 100 ft, Blue","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"N201-015-BL","N201-015-BL","Tripp Lite by Eaton","15FT Cat6 Snagless RJ45 Cable","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.ibselectronics.com/part/tripp-lite/n201-015-bl/2506299/ | https://www.directdial.com/us/item/tripp-lite-by-eaton-cat6-gigabit-snagless-molded-utp-ethernet-cable-rj45-m-m-poe-blue-15-ft-4-57-m/n201-015-bl | https://www.pc-canada.com/item/tripp-lite-by-eaton-cat6-gigabit-snagless-molded-utp-ethernet-cable-rj45-m-m-poe-blue-15-ft-4-57-m/n201-015-bl"
"P131-06N","P131-06N","Tripp Lite by Eaton","Hdmi/vga With Audio Converter","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.jrhelectronics.com/en-us/products/tripp-lite-by-eaton/p131-06n/ | https://www.tech-america.com/item/tripp-lite-by-eaton-hdmi-to-vga-with-audio-converter-cable-adapter-for-ultrabook-laptop-desktop-pc-m-f-6-in-15-24-cm/p131-06n | https://www.directdial.com/us/item/tripp-lite-by-eaton-hdmi-to-vga-with-audio-converter-cable-adapter-for-ultrabook-laptop-desktop-pc-m-f-6-in-15-24-cm/p131-06n"
"P502-006","P502-006","Tripp Lite by Eaton","Svga Monitor Cable 6F-","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.onlinecomponents.com/en/productdetail/tripp-lite-by-eaton/p502006-12697943.html"
"P569-006-MF","P569-006-MF","Tripp Lite by Eaton","4K HDMI Extension Cable With Ethernet","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.bestbuy.com/product/tripp-lite-4k-30hz-hdmi-male-female-high-speed-extension-cable-with-ethernet-6-ft-model-p569-006-mf-black/J78C5ZP894/sku/10742866"
"P570-006-MICRO","P570-006-MICRO","Tripp Lite by Eaton","HDMI To Microhdmi Cable 6FT","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.petra.com/tripp-lite-by-eaton-p570-006-micro-1080p-hdmi-male-to-micro-hdmi-male-high-speed-with-ethernet-a-v-cable-black-6-ft.html"
"SMART1200XLHG","SMART1200XLHG","Tripp Lite by Eaton","4O 120V 1KVA 750W Med Ups","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"SMART1500LCD","SMART1500LCD","Tripp Lite by Eaton","1500VA Lcd Ups","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.tech-america.com/item/tripp-lite-by-eaton-ups-smart-lcd-1500va-900w-120v-line-interactive-ups/smart1500lcd | https://www.directdial.com/us/item/tripp-lite-by-eaton-ups-smart-lcd-1500va-900w-120v-line-interactive-ups/smart1500lcd | https://www.globaloffice.com.mx/app/producto/pdf/smart1500lcd | https://www.abasteo.mx/Energia/Proteccion-Contra-Descargas/No-Break-UPS/No-Break-UPS/No-Break-Tripp-Lite-by-Eaton-SMART1500LCD-Linea-Interactiva-900W-1-500VA-Entrada-75V-147V-Salida-115V-120V-8-Salidas.html"
"SPIKECUBE","SPIKECUBE","Tripp Lite by Eaton","1OUT 600J Spikecube Surge","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
