public_sku,manufacturer_mpn,manufacturer,category,title,lowest_reliable_price,typical_public_price,highest_reasonable_price,proposed_retail_price,pricing_evidence_urls,evidence_date,confidence,pricing_status,notes
"PCBLCO102","PCBLCO102","Pyle","Cable Management","Cable Protector Ramp with Flip-Open Access Lid","","","","","https://www.pyleaudio.com/sku/PCBLCO102/ | https://www.kohls.com/product/prd-8059294/pyle-cable-protector-cover-ramp-1-channel-safety-track-with-flip-open-lid-pcblco102-yellow.jsp | https://www.newegg.com/pyle-pcblco102-cable-protection-systems/p/0SV-006A-00020","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"PDWM2145","PDWM2145","Pyle","Antennas & RF","Fixed Freq Wireless Mic System","64.99","64.99","64.99","","https://www.pyleaudio.com/sku/PDWM2145 | https://www.bestbuy.com/site/pyle-pro-2-channel-vhf-wireless-microphone-system-black/5706268.p | https://www.staples.com/PYLE-PRO-PDWM2145-VHF-Fixed-Frequency-Wireless-Microphone-System/product_2139699 | https://equipboard.com/items/pyle-pdwm2145-vhf-wireless-microphone-system","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"PDWM3375","PDWM3375","Pyle","Antennas & RF","2CH Wireless Mic System","","","","","https://www.target.com/p/-/A-92340921 | https://micwisys.com/pdwm3375","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"PDWM3400","PDWM3400","Pyle","Antennas & RF","Premier Wireless Mic System","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"PDBC70","PDBC70","Pyle","Network Equipment","9O 15A Power Switch Control","","","","","https://pyleaudio.com/Manuals/PCO850.pdf","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"PDWM4120","PDWM4120","Pyle","Antennas & RF","H&o UHF Wireless Mic System","","","","","https://pyleusa.com/products/pdwm4120 | https://www.bhphotovideo.com/c/product/1526332-REG/pyle_pro_pdwm4120_bluetooth_uhf_4_handheld.html/specs | https://www.bhphotovideo.com/lit_files/829213.pdf","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"AMP1450E","AMP1450E","RCA","Antennas & RF","Digi Amp For Indoor Antna","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"ANT111E","ANT111E","RCA","Antennas & RF","Indoor Passive Antenna","14.99","14.99","14.99","","https://www.pcrichard.com/rca-indoor-fm-and-hdtv-antenna-black/ANT111E.html | https://www.petra.com/rca-ant111e-indoor-fm-and-hdtv-antenna.html","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"ANT1560E1","ANT1560E1","RCA","Antennas & RF","Amplified Indoor Flat Multi-Directional HDTV Antenna","43.99","43.99","43.99","","https://www.bestbuy.com/product/rca-amplified-indoor-flat-multi-directional-hdtv-antenna-black/J7GGXL5JJC | https://www.compsource.com/buy/ANT1560E1/Rca-3482/Amp-In-Flat-Md-Hdtv-Antna/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"ANT310E","ANT310E","RCA","Antennas & RF","Amplified Indoor Antna","","","","","https://www.rcaantennas.net/docs/common/ANT310E/ANT310E_QS.pdf","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"ANT705E","ANT705E","RCA","Antennas & RF","Attic/outdoor Hdtv Antenna","","","","","https://www.rcaantennas.net/search/?sku=ANT705E | https://www.bestbuy.com/product/rca-attic-outdoor-hdtv-antenna-silver/J7GGXL535C | https://www.homedepot.com/p/303087505 | https://www.maxitec.com.ec/rca-antena-de-tv-compacta-para-exteriores-ant705e/p","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"ANT754E","ANT754E","RCA","Antennas & RF","Antenna Outdoor Attic Compa","54.99","54.99","54.99","","https://www.homedepot.com/p/339401207 | https://www.electronicexpress.com/catalog/203968/rca-ant754e-outdoor-attic-hdtv-antenna | https://www.acehardware.com/departments/lighting-and-electrical/home-electronics/television-antennas/3458353","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"DH12HHE","DH12HHE","RCA","Network Cabling & Connectors","12FT Dig Plus HDMI 2 HDMI","41.63","41.63","41.63","","https://www.abcwarehouse.com/rca-dh12hhe | https://www.bestbuy.com/product/rca-dh12hhe-digital-plus-high-speed-hdmi-cable-with-ethernet-12-ft--black/J7GGXLHWC2 | https://www.maxitec.com.ec/rca-cable-hdmi-de-alta-resolucion-y-velocidad-365-metros-dh12hhe/p","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"DH24SPE","DH24SPE","RCA","Network Cabling & Connectors","2.4GHZ 2WAY Digital Splitter","18.99","18.99","18.99","","https://www.petra.com/rca-dh24spe-2-way-2-4-ghz-bi-directional-coaxial-splitter.html","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"DH3HHE","DH3HHE","RCA","Network Cabling & Connectors","3FT HDMI Cable","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"DH6HHE","DH6HHE","RCA","Network Cabling & Connectors","6FT Dig Plus HDMI To HDMI","19.95","19.97","19.99","19.97","https://www.petra.com/rca-dh6hhe-digital-plus-high-speed-hdmi-cable-with-ethernet-black-6-ft.html | https://www.zoro.com/rca-6-ft-black-4k-ultra-hd-digital-plus-hdmi-cable-dh6hhe/i/G211362246/","2026-08-03","medium","approved_candidate","Two or more distinct priced public sellers; price spread, supplier cost, and MAP gates passed."
"DV10RV","DV10RV","RCA","Network Cabling & Connectors","6FT Optical Cable Black","12.65","12.65","12.65","","https://www.zoro.com/rca-6-ft-black-audio-digital-optical-cable-dv10rv/i/G316239467/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TP210WHRV","TP210WHRV","RCA","Telephone Equipment","7FT Mod Phone Cord White","","","","","https://www.beachaudio.com/rca-tp210whrv-rounded-phone-line-cord-7-ft-white/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TP231WHR","TP231WHR","RCA","Telephone Equipment","15FT Phone Line Cord White","7.19","7.19","7.19","","https://www.zoro.com/rca-white-15-ft-phone-line-cord-tp231whr/i/G9762591/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TP243WHR","TP243WHR","RCA","Telephone Equipment","25FT Phone Line Cord White","","","","","https://www.beachaudio.com/rca-tp243whr-white-phone-line-cord-25ft-tp243whr/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TP257WHR","TP257WHR","RCA","Terminals, Jacks & Wall Plates","Duplex Mod Jack White","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TP265WHR","TP265WHR","RCA","Terminals, Jacks & Wall Plates","Surf Mount Phone Jack White","3.99","3.99","3.99","","https://www.menards.com/main/electrical/wall-plates/rca-white-surface-mount-phone-jack/tp265whr/p-1444424468033-c-1489667504662.htm | https://www.beachaudio.com/rca-tp265whr-tp265whr-surface-mount-baseboard-phone-jack/ | https://www.rcaaccessories.com/connectivity/?sku=TP265WHR","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TP280WRV","TP280WRV","RCA","Telephone Equipment","12FT Phone Coil Cord White","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TP282AR","TP282AR","RCA","Telephone Equipment","25FT Phone Coil Cord Ivr","5.99","5.99","5.99","","https://www.zoro.com/rca-25-almond-phone-cord-tp282ar/i/G021879750/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TP282BLRV","TP282BLRV","RCA","Telephone Equipment","Standard Handset Coil Cord, 25 ft, Black","","","","","https://www.beachaudio.com/rca-tp282blrv-standard-handset-coil-cord-25-ft-black/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TP282WR","TP282WR","RCA","Telephone Equipment","25FT Handset Coil Cord With","","","","","https://www.nationalsupplynetwork.com/TP282WR-Voxx-Accessories.aspx","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TP443WHRV","TP443WHRV","RCA","Telephone Equipment","50FT Mod Phone Cord White","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TPH530BR","TPH530BR","RCA","Network Cabling & Connectors","7 ft Cat5e Cable Blu","7.49","7.74","7.99","7.74","https://www.pcrichard.com/rca-7-feet-cat5e-network-cable/TPH530BR.html | https://www.zoro.com/rca-7-ft-cat-5-blue-network-cable-tph530br/i/G211378667/ | https://sounds.mx/products/rca-cable-ethernet-7ft-tph530br","2026-08-03","medium","approved_candidate","Two or more distinct priced public sellers; price spread, supplier cost, and MAP gates passed."
"TPH532BR","TPH532BR","RCA","Network Cabling & Connectors","25FT Cat5e 100MHZ Cable Blu","16.99","19.09","21.19","19.09","https://www.rcaaccessories.com/connectivity/cat5e-cables/?sku=TPH532BR | https://www.maxitec.com.ec/rca-cable-de-red-de-75-metros-cat5-100mhz-tph532br/p | https://www.quill.com/rca-tph532br-cat-5e-100mhz-network-cable-25ft/cbs/52819474.html | https://www.zoro.com/rca-cat-5e-100mhz-25-ft-network-cable-tph532br/i/G0418233/","2026-08-03","medium","approved_candidate","Two or more distinct priced public sellers; price spread, supplier cost, and MAP gates passed."
"TPH560R1V","TPH560R1V","RCA","Network Cabling & Connectors","CAT5E/6 in Line Coupler With","","","","","https://www.beachaudio.com/rca-tph560r1v-cat-5e-6-in-line-coupler-white/ | https://www.rona.ca/en/product/rca-in-line-coupler-cat5e-6-white-tph560r1v-10545231","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TPH633R","TPH633R","RCA","Network Cabling & Connectors","50FT Cat 6 Cable Black","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"VH125R","VH125R","RCA","Antennas & RF","4IN Antenna Wall Mount Kit","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"VH47R","VH47R","RCA","Network Cabling & Connectors","Two-way Splitter","3.99","4.57","5.15","4.57","https://www.rcaaccessories.com/connectivity/coaxial-cables-accessories/?sku=VH47R | https://www.zoro.com/rca-video-signal-2-way-splitter-vh47r/i/G0421094/","2026-08-03","medium","approved_candidate","Two or more distinct priced public sellers; price spread, supplier cost, and MAP gates passed."
"VH603RV1","VH603RV1","RCA","Network Cabling & Connectors","3FT RG6 Cable Black","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"VH606R","VH606R","RCA","Network Cabling & Connectors","6FT RG6 Coax Cable Black","","","","","https://www.maxitec.com.ec/rca-cable-coaxial-rg6-de-183-m-vh606r/p","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"VH606WHR","VH606WHR","RCA","Network Cabling & Connectors","6FT RG6 Cable White","","","","","https://www.beachaudio.com/voxx-electronics-vh606whn-audio-video-cable-vh606whr/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"VH612R","VH612R","RCA","Network Cabling & Connectors","12FT RG6 Coax Cable Black","7.99","7.99","7.99","","https://www.rcaaccessories.com/connectivity/coaxial-cables/?sku=VH612R | https://www.beachaudio.com/rca-vh612r-rg6-coaxial-cable-12ft-black-vh612r/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"VH625RV","VH625RV","RCA","Network Cabling & Connectors","25FT RG6 Coax Cable Black","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"VH66R1","VH66R1","RCA","Network Cabling & Connectors","Coax Cable Feed Connector","","","","","https://tekshack.com/products/rca-in-line-feed-through-coax-connector-2-pack-vh66r1","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"VHB6111R","VHB6111R","RCA","Network Cabling & Connectors","100FT RG6 Coax Cable Black","224","224","224","","https://www.bestbuy.com/product/rca-rg6-coaxial-cable-100-ft-with-f-connectors-black/J79FRQZ3KR/sku/10752843/reviews","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"VHB655R","VHB655R","RCA","Network Cabling & Connectors","50FT RG6 Coax Cable Black","","","","","https://www.radwell.co.uk/Buy/RCA/RCA/VHB655R","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"VHEXT8E","VHEXT8E","RCA","Network Cabling & Connectors","Coax Extension Cable","6.99","6.99","6.99","","https://www.rcaaccessories.com/search/?sku=VHEXT8E","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"VHFC015E","VHFC015E","RCA","Network Cabling & Connectors","Flat Coax Extnsn Cable","","","","","https://www.rcaaccessories.com/connectivity/?sku=VHFC015E","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"C380N","C380N","Eco4life","Network Equipment","4O Smart Surge Power Strip W/usb","45","45","45","","https://mall.eco4lifehome.com/products/smart-wi-fi-surge-protector-with-65w-fast-charge-station-4-smart-outlets-2-usb-c-and-1-usb-a-fast-charging-ports-c380n | https://www.homedepot.com/p/335432716?MERCH=REC-_-pipinstock-_-315518498-_-4-_-n%2Fa-_-n%2Fa-_-n%2Fa-_-n%2Fa-_-n%2Fa","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"84-213","84-213","Stanley","Telecom Tools","Wire Stripper & Cutter","","","","","https://www.grainger.com/product/STANLEY-Pliers-5-in-Overall-Lg-379A32 | https://www.webstaurantstore.com/stanley-5-wire-stripper-cutter-84-213/23084213.html","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"AHD10-04290","AHD10-04290","Vericom","Network Cabling & Connectors","10FT HDMI 30AWG Black","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"AHD30-04293","AHD30-04293","Vericom","Network Cabling & Connectors","30FT HDMI 28AWG Black","","","","","https://www.codale.com/product/detail/3590744/vericom-ahd30-04293 | https://shoptheworld.in/vericom-ahd30-04293-30-28-gauge-hdmi-cable-black-price-online/p/b01j6kkt8w","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"AHD50-04294","AHD50-04294","Vericom","Network Cabling & Connectors","50FT HDMI 24AWG Black","45.99","45.99","59.95","45.99","https://www.bestbuy.com/product/vericom-vp-series-high-speed-10-2-gbps-hdmi-cable-with-ethernet-50-ft-/J36WSCYWTK | https://www.bestbuy.com/product/vericom-vp-series-high-speed-10-2-gbps-hdmi-cable-with-ethernet-50-ft-/J36WSCYWTK/sku/12135323/reviews | https://www.staples.com/vericom-ahd50-04294-28-gauge-hdmi-cable-50ft-tctahd5004294ds/product_2442853","2026-08-03","medium","approved_candidate","Two or more distinct priced public sellers; price spread, supplier cost, and MAP gates passed."
"MBW5U-00932","MBW5U-00932","Vericom","Network Cabling & Connectors","CAT 5e U/UTP Solid Riser CMR Cable, 1,000 ft, Blue","","","","","https://www.bestbuy.com/product/vericom-cat-5e-u-utp-solid-riser-cmr-cable-1000-ft-/J36WSCGRFX/sku/12135381/reviews","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"MBW5U-01440","MBW5U-01440","Vericom","Network Cabling & Connectors","CAT 5e U/UTP Solid Riser CMR Cable, 1,000 ft, Black","","","","","https://www.petra.com/vericom-mbw5u-01440-cat-5e-u-utp-solid-riser-cmr-cable-1-000-ft-black.html | https://www.lowes.com/pd/Vericom-1000-ft-Cat-5E-Black-Ethernet-Cable-Pull-Box/1003011294?feed=yes&user=shopping","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"MBW5U-01441","MBW5U-01441","Vericom","Network Cabling & Connectors","CAT 5e U/UTP Solid Riser CMR Cable, 1,000 ft, White","","","","","https://www.bestbuy.com/product/vericom-cat-5e-u-utp-solid-riser-cmr-cable-1000-ft-/J36WSCGFJQ | https://www.lowes.com/pd/Vericom-CAT-5E-UTP-Solid-Riser-CMR-Cable-1-000ft-White/1003011296 | https://www.codale.com/product/detail/2637944/vericom-mbw5u-01441 | https://e-catalog.com/gtin/0846788014415/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"MBW5U-01443","MBW5U-01443","Vericom","Network Cabling & Connectors","CAT 5e U/UTP Solid Riser CMR Cable, 1,000 ft, Yellow","127.99","127.99","127.99","","https://www.lowes.com/pd/Vericom-CAT-5E-UTP-Solid-Riser-CMR-Cable-1-000ft-Yellow/1003084494 | https://www.officedepot.com/a/products/7291300/Vericom-CAT-5EUTP-Solid-Riser-CMR/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"MBW5U-01554","MBW5U-01554","Vericom","Network Cabling & Connectors","CAT 5e U/UTP Solid Riser CMR Cable, 1,000 ft, Red","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"MBW6U-00934","MBW6U-00934","Vericom","Network Cabling & Connectors","CAT 6 U/UTP Solid Riser CMR Cable, 1,000 ft, Blue","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"MBW6U-01444","MBW6U-01444","Vericom","Network Cabling & Connectors","CAT 6 U/UTP Solid Riser CMR Cable, 1,000 ft, White","","","","","https://www.joinhoney.com/p/ce3d3df8-e336-4b01-b172-3975d63eb417 | https://e-catalog.com/gtin/0846788014446/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"MBW6U-01445","MBW6U-01445","Vericom","Network Cabling & Connectors","CAT 6 U/UTP Solid Riser CMR Cable, 1,000 ft, Yellow","197.99","197.99","197.99","","https://www.bestbuy.com/product/vericom-cat-6-u-utp-solid-riser-cmr-cable-1000-ft-/J36WSCGF22/sku/12134912/reviews | https://www.beachaudio.com/vericom-cat-6-u-utp-solid-riser-cmr-cable-1000-ft-pull-box-category-6-for-network-device-1000-ft-bare-wire-bare-wire-yellow-mbw6u-01445/ | https://www.newegg.com/p/16U-0050-00081","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"MKJ6U-01352","MKJ6U-01352","Vericom","Network Cabling & Connectors","Kest Coupler Cat6 Unshld Black","","","","","https://www.officedepot.com/a/products/9097634/Vericom-VGC-Series-CAT-6-UTP/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"WTCXC-03634","WTCXC-03634","Vericom","Telecom Tools","Coax Hex Crimp Tool","","","","","https://vericomsolutions.com/images/product/pdf/WTCXC-03634_Spec.pdf","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"WTCXS-03631","WTCXS-03631","Vericom","Telecom Tools","Universal Coax Strip Tool","","","","","https://vericomsolutions.com/images/product/pdf/WTCXS-03631_Spec.pdf","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"WTRJC-03632","WTRJC-03632","Vericom","Telecom Tools","Modular Crimp/strip Tool","","","","","https://e-catalog.co.uk/gtin/0846788036325/ | https://www.vericomsolutions.com/images/product/pdf/WTRJC-03632_Spec.pdf | https://vericomsolutions.com/images/product/pdf/WTRJC-03632_Spec.pdf","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"XHD03-04252","XHD03-04252","Vericom","Network Cabling & Connectors","3FT HDMI Cable With Ethernet Black","","","","","https://www.solidsignal.com/vericom-gold-plated-high-speed-hdmi-cable-with-ethernet-3ft-xhd03-04252","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"XHD01-04253","XHD01-04253","Vericom","Network Cabling & Connectors","6FT HDMI Cable With Ethernet Black","6.5","6.5","6.5","","https://www.petra.com/vericom-xhd01-04253-vu-series-18-gbps-high-speed-hdmi-cable-with-ethernet-6-ft-black.html?ca9dfd5c69a9609afe4d82c38e0c28ec=1","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"XHD01-04254","XHD01-04254","Vericom","Network Cabling & Connectors","10FT HDMI Cable With Ethernet Black","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"XHD01-04255","XHD01-04255","Vericom","Network Cabling & Connectors","12FT HDMI Cable With Ethernet Black","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"XHD01-04260","XHD01-04260","Vericom","Network Cabling & Connectors","12FT HDMI Cable With Ethernet White","7.5","7.5","7.5","","https://www.petra.com/vericom-xhd01-04260-vu-series-18-gbps-high-speed-hdmi-cable-with-ethernet-12-ft-white.html | https://www.officedepot.com/a/products/7387710/Vericom-VU-Series-High-Speed-18/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"XRG06-02404","XRG06-02404","Vericom","Network Cabling & Connectors","1000FT RG6 Dual Shield Cable","102","102","102","","https://www.bestbuy.com/product/vericom-rg6-ccs-dual-shield-coaxial-cable-1000ft/J36WSCL6SV | https://www.solidsignal.com/vericom-rg-6-dual-shield-60-coax-cable-1000-ft-rib-xrg06-02404","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TLP1008TELTV","TLP1008TELTV","Tripp Lite by Eaton","Network Cabling & Connectors","10 Outlet Surge","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TLP1208TELTV","TLP1208TELTV","Tripp Lite by Eaton","Network Cabling & Connectors","12OUT Surge With Coax/tel","","","","","https://assets.tripplite.com/flyer/tlp1208teltv-wirecutter-review.pdf","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"A102-02M","A102-02M","Tripp Lite by Eaton","Network Cabling & Connectors","6FT Digital Optical Cable","12.41","12.41","12.41","","https://www.petra.com/tripp-lite-by-eaton-a102-02m-toslink-digital-optical-spdif-audio-cable-black-6-ft.html","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"A102-04M","A102-04M","Tripp Lite by Eaton","Network Cabling & Connectors","13FT Digital Optical Cable","","","","","https://www.tecisoft.ca/products/tripp-lite-a102-04m-toslink-digital-optical-spdif-audio-cable-4m-13-12-ft","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"AVR750UNC","AVR750UNC","Tripp Lite by Eaton","Network Cabling & Connectors","12O 750VA 450W Li Cloud Ups","","","","","https://www.petra.com/tripp-lite-by-eaton-avr750unc-12-ac-outlet-and-lan-coax-750-va-450-watt-cloud-connected-line-interactive-desktop-ups-avr-316-joules-surge-protection-5-ft-cord.html?ca9dfd5c69a9609afe4d82c38e0c28ec=1","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"B118-008E-UHD-2","B118-008E-UHD-2","Tripp Lite by Eaton","Antennas & RF","8PRT 4K HDMI Splitter","","","","","https://www.tractorsupply.com/tsc/product/tripp-lite-hdmi-splitter-4k-at-60-hz-8-ports-b118-008e-uhd-2 | https://www.bestbuy.com/product/tripp-lite-by-eaton-b118-008e-uhd-2-hdmi-splitter-4k-at-60-hz-8-ports-b118-008e-uhd-2-black/J78C5Z6L4G/sku/10742897","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"BC600RNC","BC600RNC","Tripp Lite by Eaton","Network Equipment","Cloud-Connected 600 VA/300 W Desktop UPS with 4 AC Outlets","","","","","https://fleetnetwork.ca/tripp-lite-by-eaton-bc600rnc-600va-300w-desktop-surface-wall-mountable-ups-4-outlets-1-2-min-full-load-runtime-8-hour-recharge-3-year-warranty/ | https://www.connection.com/product/tripp-lite-cloud-ups-600va-300w-120v/bc600rnc/41795094 | https://www.officesupplyinc.com/pdf/TRPBC600RNC-p-354475.pdf","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"ISOBAR6 ULTRA","ISOBAR6 ULTRA","Tripp Lite by Eaton","Network Equipment","6 Out Surge With 6FT Cord","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"LC1200","LC1200","Tripp Lite by Eaton","Network Equipment","1200W 120V Line Conditioner","","","","","https://www.jrhelectronics.com/en-us/products/tripp-lite-by-eaton/lc1200/ | https://master.abasteo.mx/getpdf.php?anid=d518158c9a0d1ee55e73605ad3ed87e0&cl=cptopdf_details&pt=LC1200","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"LC2400","LC2400","Tripp Lite by Eaton","Network Equipment","2400W 120V Power Conditioner","","","","","https://www.tech-america.com/item/tripp-lite-by-eaton-2400w-120v-power-conditioner-with-automatic-voltage-regulation-avr-ac-surge-protection-6-outlets/lc2400","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"N001-025-BK","N001-025-BK","Tripp Lite by Eaton","Network Cabling & Connectors","Cat5e 350MHZ Cable 25 ft","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"N001-050-BK","N001-050-BK","Tripp Lite by Eaton","Network Cabling & Connectors","Cat5e Patch Cable 50 ft","","","","","https://e-catalog.com/gtin/0037332042743/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"N032-001","N032-001","Tripp Lite by Eaton","Network Cabling & Connectors","Cat5e RJ45 Inline Couplr","","","","","https://www.pc-canada.com/item/tripp-lite-by-eaton-cat5e-cat5-straight-through-modular-shielded-in-line-coupler-rj45-f-f/n032-001 | https://www.pcnation.com/tripp-lite-n032-001-095546 | https://fireowls.com/products/n032-001-tripp-lite-by-eaton-cat5e-cat5-straight-through-modular-shielded-in-line-coupler-rj45-ff | https://www.directdial.com/us/item/tripp-lite-by-eaton-cat5e-cat5-straight-through-modular-shielded-in-line-coupler-rj45-f-f/n032-001","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"N201-007-BL","N201-007-BL","Tripp Lite by Eaton","Network Cabling & Connectors","CAT 6 Gigabit Snagless Stranded UTP Ethernet Cable, 7 ft, Blue","","","","","https://www.ibselectronics.com/part/tripp-lite/n201-007-bl/2353024/ | https://www.pcnation.com/tripp-lite-n201-007-bl-601379","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"N201-007-WH","N201-007-WH","Tripp Lite by Eaton","Network Cabling & Connectors","7FT Cat6 Gigabit Snagless","","","","","https://www.pc-canada.com/item/tripp-lite-by-eaton-cat6-gigabit-snagless-molded-utp-ethernet-cable-rj45-m-m-poe-white-7-ft-2-13-m/n201-007-wh","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"N201-014-BL","N201-014-BL","Tripp Lite by Eaton","Network Cabling & Connectors","CAT 6 Gigabit Snagless Solid UTP Ethernet Cable, 14 ft, Blue","","","","","https://www.pc-canada.com/item/tripp-lite-by-eaton-cat6-gigabit-snagless-molded-utp-ethernet-cable-rj45-m-m-poe-blue-14-ft-4-27-m/n201-014-bl","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
